,,,,,,,,,,,,,,,,,,,,,,,,,
,Rk,School,G,W,L,W-L%,SRS,SOS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
,164,Maryland-Eastern Shore,32,7,25,0.219,-24.21,-7.91,1285,666,1705,0.391,172,610,0.282,329,489,0.673,264,989,361,186,70,431,575
,165,Massachusetts,32,11,21,0.344,-3.02,-0.18,1290,808,1831,0.441,256,732,0.350,391,574,0.681,342,1123,468,154,93,445,643
,166,Massachusetts-Lowell,32,15,17,0.469,-8.28,-6.95,1290,875,1852,0.472,246,721,0.341,460,639,0.720,293,1115,500,181,85,447,589
,167,McNeese State,31,9,22,0.290,-14.41,-6.15,1245,760,1676,0.453,168,548,0.307,461,647,0.713,310,1054,429,147,97,450,467
,168,Memphis,36,22,14,0.611,10.70,5.09,1450,1013,2238,0.453,260,807,0.322,596,835,0.714,436,1358,553,288,144,538,739
,169,Mercer,31,11,20,0.355,-2.86,-0.24,1245,787,1746,0.451,228,663,0.344,446,648,0.688,307,1057,393,207,80,407,557
,170,Miami (FL),32,14,18,0.438,9.39,8.70,1285,805,1851,0.435,268,805,0.333,419,570,0.735,291,1061,413,212,100,372,465
,171,Miami (OH),32,15,17,0.469,0.77,2.31,1285,777,1847,0.421,269,832,0.323,444,626,0.709,353,1190,349,194,87,413,581
,172,Michigan NCAA,37,30,7,0.811,21.82,10.55,1480,941,2102,0.448,287,839,0.342,406,579,0.701,299,1307,512,225,149,334,514
,173,Michigan State NCAA,39,32,7,0.821,24.93,12.34,1570,1071,2230,0.480,319,844,0.378,564,749,0.753,414,1579,715,201,205,493,647
,174,Middle Tennessee,32,11,21,0.344,-6.09,1.44,1280,778,1858,0.419,212,650,0.326,373,551,0.677,382,1228,352,190,85,512,583
,175,Milwaukee,31,9,22,0.290,-8.90,-2.50,1245,765,1820,0.420,237,692,0.342,379,508,0.746,288,1094,356,145,94,382,579
,176,Minnesota NCAA,36,22,14,0.611,12.52,11.27,1445,887,2039,0.435,191,603,0.317,578,848,0.682,402,1314,523,175,140,418,578
,177,Mississippi NCAA,33,20,13,0.606,12.32,8.13,1325,876,1906,0.460,272,760,0.358,461,589,0.783,322,1128,475,235,118,416,603
,178,Mississippi State NCAA,34,23,11,0.676,15.96,9.07,1370,936,1982,0.472,292,774,0.377,464,647,0.717,393,1215,481,274,172,451,586
,179,Mississippi Valley State,32,6,26,0.188,-22.47,-6.99,1285,730,1923,0.380,172,554,0.310,426,647,0.658,378,1165,361,176,70,415,570
,180,Missouri,32,15,17,0.469,8.60,9.16,1290,758,1764,0.430,264,727,0.363,370,526,0.703,345,1130,354,149,53,448,625
,181,Missouri State,32,16,16,0.500,-1.20,-1.03,1285,774,1714,0.452,224,649,0.345,434,627,0.692,270,1000,354,221,127,385,540
,182,Monmouth,35,14,21,0.400,-10.66,-4.83,1420,794,1915,0.415,168,565,0.297,530,773,0.686,360,1224,379,237,101,502,698
,183,Montana NCAA,35,26,9,0.743,1.50,-5.05,1405,975,1983,0.492,287,763,0.376,428,621,0.689,293,1176,510,229,106,416,655
,184,Montana State,32,15,17,0.469,-7.91,-5.81,1280,858,1882,0.456,306,818,0.374,480,651,0.737,292,1083,491,169,46,394,567
,185,Morehead State,33,13,20,0.394,-7.73,-1.76,1335,855,1993,0.429,260,762,0.341,461,654,0.705,357,1177,440,186,137,402,561
,186,Morgan State,30,9,21,0.300,-15.98,-10.70,1210,758,1920,0.395,168,521,0.322,477,669,0.713,397,1078,362,230,48,401,614
,187,Mount St. Mary's,31,9,22,0.290,-14.57,-6.02,1240,733,1755,0.418,223,723,0.308,403,594,0.678,293,1036,354,146,107,410,576
,188,Murray State NCAA,33,28,5,0.848,8.96,-3.11,1320,988,2007,0.492,258,731,0.353,493,673,0.733,351,1247,591,249,149,401,527
,189,Navy,31,12,19,0.387,-10.09,-4.00,1240,732,1785,0.410,208,656,0.317,389,544,0.715,359,1160,399,167,58,437,534
,190,NC State,36,24,12,0.667,14.94,6.22,1450,1061,2319,0.458,292,830,0.352,468,661,0.708,486,1390,539,257,138,449,691
,191,Nebraska,36,19,17,0.528,14.85,11.31,1445,916,2133,0.429,270,800,0.338,484,694,0.697,379,1278,466,260,151,345,580
,192,Nevada NCAA,34,29,5,0.853,16.00,2.68,1360,924,1999,0.462,297,855,0.347,578,816,0.708,325,1274,498,211,134,352,584
,193,Nevada-Las Vegas,31,17,14,0.548,1.58,0.48,1250,791,1852,0.427,251,745,0.337,443,647,0.685,408,1204,401,184,115,401,556
,194,New Hampshire,29,5,24,0.172,-18.66,-6.03,1160,623,1656,0.376,261,787,0.332,235,385,0.610,260,986,325,116,53,356,533
,195,New Mexico,32,14,18,0.438,-0.55,1.61,1280,814,1927,0.422,292,844,0.346,523,745,0.702,351,1199,446,220,107,455,627
,196,New Mexico State NCAA,35,30,5,0.857,10.05,-2.38,1405,962,2092,0.460,326,977,0.334,484,714,0.678,445,1343,514,197,91,419,632
,197,New Orleans,33,19,14,0.576,-8.88,-6.47,1345,862,1941,0.444,189,566,0.334,471,681,0.692,393,1166,497,285,134,517,631
,198,Niagara,32,13,19,0.406,-11.33,-7.77,1285,795,1887,0.421,265,738,0.359,463,629,0.736,315,1143,343,128,127,390,511
,199,Nicholls State,31,14,17,0.452,-11.87,-6.98,1250,807,1914,0.422,324,883,0.367,322,418,0.770,280,1041,428,208,128,386,587
,200,NJIT,35,22,13,0.629,-3.63,-4.74,1410,849,1913,0.444,246,713,0.345,528,732,0.721,250,1178,376,223,94,421,582
,201,Norfolk State,36,22,14,0.611,-8.04,-8.74,1460,900,2079,0.433,282,770,0.366,570,803,0.710,366,1318,457,219,154,523,763
,202,North Alabama,32,10,22,0.313,-11.00,-1.69,1285,744,1914,0.389,240,805,0.298,417,619,0.674,351,1170,334,209,74,435,614
,203,North Carolina NCAA,36,29,7,0.806,23.94,11.35,1445,1118,2410,0.464,312,862,0.362,541,728,0.743,477,1589,678,252,120,473,611
,204,North Carolina A&T,32,19,13,0.594,-11.24,-9.88,1290,825,1797,0.459,227,649,0.350,364,548,0.664,291,1059,452,215,108,417,514
,205,North Carolina Central NCAA,34,18,16,0.529,-11.53,-11.24,1365,874,1922,0.455,221,693,0.319,460,641,0.718,399,1265,526,207,93,515,610
,206,North Dakota,30,12,18,0.400,-8.78,-3.55,1200,822,1771,0.464,241,647,0.372,335,482,0.695,233,1009,398,171,87,380,485
,207,North Dakota State NCAA,35,19,16,0.543,-4.01,-2.07,1410,874,1926,0.454,332,910,0.365,476,613,0.777,229,1105,402,160,87,368,523
,208,North Florida,33,16,17,0.485,-3.47,-0.70,1325,902,2014,0.448,308,897,0.343,373,539,0.692,363,1252,520,212,165,536,573
,209,North Texas,33,21,12,0.636,-0.25,-3.48,1325,831,1910,0.435,284,838,0.339,356,532,0.669,368,1244,428,210,88,443,589
,210,Northeastern NCAA,34,23,11,0.676,3.95,-0.70,1385,880,1848,0.476,328,858,0.382,476,634,0.751,237,1075,480,211,74,381,539
,211,Northern Arizona,31,10,21,0.323,-10.75,-6.23,1250,785,1819,0.432,259,749,0.346,433,614,0.705,290,1055,381,196,65,372,537
,212,Northern Colorado,32,21,11,0.656,-3.92,-6.76,1295,849,1837,0.462,307,849,0.362,445,633,0.703,309,1128,422,176,101,398,538
,213,Northern Illinois,34,17,17,0.500,2.58,1.11,1375,940,1995,0.471,229,642,0.357,397,543,0.731,304,1179,374,188,75,404,653
,214,Northern Iowa,34,16,18,0.471,-1.54,0.62,1360,769,1847,0.416,276,792,0.348,401,537,0.747,262,1115,370,165,75,393,554
,215,Northern Kentucky NCAA,35,26,9,0.743,4.67,-2.39,1410,979,2047,0.478,306,844,0.363,483,725,0.666,364,1298,592,218,139,441,664
,216,Northwestern,32,13,19,0.406,9.97,9.16,1290,735,1827,0.402,233,744,0.313,405,551,0.735,278,1086,451,176,134,349,583
,217,Northwestern State,31,11,20,0.355,-17.06,-5.99,1250,725,1790,0.405,190,646,0.294,411,604,0.680,352,1103,340,192,138,496,578
,218,Notre Dame,33,14,19,0.424,7.97,8.28,1320,776,1973,0.393,272,863,0.315,442,594,0.744,370,1208,423,179,148,306,455
,219,Oakland,33,16,17,0.485,-2.27,-1.48,1325,864,1859,0.465,314,816,0.385,492,663,0.742,275,1063,580,191,99,426,534
,220,Ohio,31,14,17,0.452,-1.84,3.16,1255,803,1838,0.437,187,633,0.295,381,602,0.633,332,1152,451,200,115,448,504
,221,Ohio State NCAA,35,20,15,0.571,13.89,11.00,1405,839,1931,0.434,264,774,0.341,477,650,0.734,328,1215,494,206,85,438,623
,222,Oklahoma NCAA,34,20,14,0.588,15.30,12.21,1365,883,1975,0.447,226,654,0.346,431,618,0.697,305,1263,430,203,102,401,527
,223,Oklahoma State,32,12,20,0.375,8.09,11.53,1285,760,1796,0.423,280,753,0.372,378,549,0.689,295,1093,422,183,139,386,516
,224,Old Dominion NCAA,35,26,9,0.743,3.74,-1.18,1400,823,2026,0.406,264,756,0.349,388,585,0.663,418,1365,439,197,160,408,580
,225,Omaha,32,21,11,0.656,-2.32,-3.39,1290,950,1998,0.475,282,719,0.392,341,473,0.721,273,1047,409,180,61,304,486
,226,Oral Roberts,32,11,21,0.344,-9.34,-1.91,1285,854,1874,0.456,266,734,0.362,340,492,0.691,335,1147,434,152,107,447,575
,227,Oregon NCAA,38,25,13,0.658,13.95,6.13,1530,958,2126,0.451,295,840,0.351,450,624,0.721,361,1307,501,290,162,442,665
,228,Oregon State,31,18,13,0.581,7.84,4.29,1250,800,1728,0.463,203,633,0.321,472,636,0.742,310,1091,465,185,164,384,536
,229,Pacific,32,14,18,0.438,-2.46,1.97,1290,710,1681,0.422,198,566,0.350,520,698,0.745,285,1039,325,199,46,423,630
,230,Penn State,32,14,18,0.438,12.55,11.51,1295,791,1898,0.417,222,693,0.320,425,613,0.693,382,1174,389,245,122,399,597
